group,src,tgt,source_index,prompt,pred,model_name,n_shots
wmt_test,"And: ""In our society we have no major crimes, but we do have a detention camp full of would-be criminals"". They read time streams.","Und: ""In unserer Gesellschaft gibt es keine Schwerverbrecher, dafür haben wir ein Straflager voller Pesudoverbrecher"". Sie lesen Zeitströme.",1165,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: And: ""In our society we have no major crimes, but we do have a detention camp full of would-be criminals"". They read time streams.

German:","Und: ""In unserem Gesellschaft haben wir keine majoren Strafe, aber wir haben eine Detention Camp full von gefährlichen Straftärkten"".",google/flan-t5-small,0
wmt_test,"During Obama's transition to office in 2008, he had an 82% approval rating.","Als damals 2008 Obama ins Amt wechselte, hatte er Zustimmungswerte von 82 %.",2415,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: During Obama's transition to office in 2008, he had an 82% approval rating.

German:",In 2008 hat Obama einen 82% Abstimmungsbewertung angenommen.,google/flan-t5-small,0
wmt_test,"All three face a maximum penalty of life imprisonment, according to the authorities.","Allen dreien droht als Höchststrafe lebenslanger Freiheitsentzug, wie Beamte sagten.",186,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: All three face a maximum penalty of life imprisonment, according to the authorities.

German:","Alle drei treffen eine maximale Einwanderung der Lebensauspassen, gemäß der Behörden.",google/flan-t5-small,0
wmt_test,Uwe Link has an offer for anyone who wants to set off in a carriage.,"Wer dann mit der Kutsche vorfahren will, für den hat Uwe Link ein Angebot.",1238,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: Uwe Link has an offer for anyone who wants to set off in a carriage.

German:","Uwe Link gibt es eine Angebot für Anyone, die es in einem Carriage zu machen.",google/flan-t5-small,0
wmt_test,"First of all, US investment bank Goldman Sachs sent large quantities of incorrect purchase orders to the options markets due to technical problems.",Zuerst hatte die US-Investmentbank Goldman Sachs wegen technischer Probleme massenhaft fehlerhafte Kaufaufträge an die Optionsmärkte geschickt.,2304,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: First of all, US investment bank Goldman Sachs sent large quantities of incorrect purchase orders to the options markets due to technical problems.

German:","Erstens hat die US Investment Bank Goldman Sachs eine große Anzahl von falschen Auftragslieferungen auf die Optionen, die technisch Schwierigkeiten zu lösen.",google/flan-t5-small,0
wmt_test,This became clear upon presentation of the annual accounts for 2012.,Dies wurde bei der Vorstellung der Jahresrechnung für 2012 deutlich.,563,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: This became clear upon presentation of the annual accounts for 2012.

German:",Dies hat deutlich über die Vorlage des jährlichen Rechnungswesens für 2012.,google/flan-t5-small,0
wmt_test,She was right in the middle of the cliff face - 50ft from the top and bottom.,Sie befand sich in der Mitte der Felswand – 15 Meter von oben und dem Boden entfernt.,1654,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: She was right in the middle of the cliff face - 50ft from the top and bottom.

German:",Er hat es richtig in der Mitte der Erde - 50ft von der Top und bottom.,google/flan-t5-small,0
wmt_test,"Meanwhile, U.S. lawmakers will head to Europe to help address concerns abroad about alleged U.S. spying and convince the Europeans of the need to continue joint anti-terrorism efforts with the U.S., the chairman of a Senate subcommittee on European affairs said on Thursday.","Unterdessen werden US-amerikanische Gesetzgeber nach Europa reisen, um die Bedenken gegen die angebliche amerikanische Spionage zu zerstreuen und die Europäer von der Notwendigkeit zu überzeugen, bei den Anti-Terror-Bemühungen weiterhin mit den USA zusammenzuarbeiten, wie der Vorsitzende des Senatsunterausschusses für europäische Angelegenheiten am Donnerstag erklärte.",2968,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: Meanwhile, U.S. lawmakers will head to Europe to help address concerns abroad about alleged U.S. spying and convince the Europeans of the need to continue joint anti-terrorism efforts with the U.S., the chairman of a Senate subcommittee on European affairs said on Thursday.

German:","Gleichzeitig werden die U.S. Parlamenten in Europa zu helfen, um den ernsthafte Besorgnis zu wenden, um den ernsthafte U.S.-Spykniet zu wenden und den europäischen Bürgerinnen und Bürger",google/flan-t5-small,0
wmt_test,The Observatory said there were casualties on both sides Thursday but had no specifics.,"Die Beobachtungsstelle sagte, es habe am Donnerstag Verluste auf beiden Seiten gegeben, nannte aber keine Details.",2002,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: The Observatory said there were casualties on both sides Thursday but had no specifics.

German:","Die Observateur hat gesagt, daß die Opfer auf beiden Seiten ergriffen, aber keine speziellen.",google/flan-t5-small,0
wmt_test,"Renamo wanted to ""warn the international community that things were not going well in Mozambique,"" Mr Mazanga said.","Renamo wollte „die internationale Gemeinschaft warnen, dass die Dinge in Mosambik nicht gut stehen“, sagte Mazanga.",849,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: Renamo wanted to ""warn the international community that things were not going well in Mozambique,"" Mr Mazanga said.

German:","Renamo wollten ""zuhalten die internationale Gemeinschaft, daß die Dinge nicht gut in Mozambique geschehen würden,"" sagte Herr Mazanga.",google/flan-t5-small,0
wmt_test,Howie was also ordered to pay costs of £90 and a victim surcharge of £100.,Howie wurde außerdem zur Zahlung von Kosten in Höhe von 90 £ sowie eines Opferzuschlags von 100 £ verurteilt.,2329,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: Howie was also ordered to pay costs of £90 and a victim surcharge of £100.

German:",Howie wurde auch für die Kosten von £90 und für die Opfer surcharge von £100.,google/flan-t5-small,0
wmt_test,The Front is now the most popular party in France with 24 per cent of the vote - a timely warning to British Labour that they can't assume a split on the right will automatically favour the left.,"Der Front National ist nun die beliebteste Partei in Frankreich mit 24 Prozent der Wählerstimmen – eine zeitgerechte Warnung für die britische Labour-Partei, dass sie nicht davon ausgehen kann, eine Spaltung im rechten Spektrum würde automatisch Vorteile für die Linke bedeuten.",1712,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: The Front is now the most popular party in France with 24 per cent of the vote - a timely warning to British Labour that they can't assume a split on the right will automatically favour the left.

German:","Die Front ist jetzt die wichtigsten Partei in Frankreich mit 24 % der Stimme - eine rechtzeitige Präsidium zu britischen Labour, dass sie nicht eine Split auf der recht zu ergreifen wird.",google/flan-t5-small,0
wmt_test,"Mr Ditta is accused of abusing his position as a criminal solicitor, having become too involved with specific clients.","Ditta wird des Missbrauchs seiner Position als Strafverteidiger angeklagt, da er sich zu sehr mit bestimmten Mandanten eingelassen hat.",490,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: Mr Ditta is accused of abusing his position as a criminal solicitor, having become too involved with specific clients.

German:","Herr Ditta ist es verurteilt, dass seine Position als Strafgerichtshof angewandt wurde, daß es sich mit bestimmten Clienten zu ergreifen.",google/flan-t5-small,0
wmt_test,"Fifth place went to Artur Brückner, responsible for organising music copies.",Platz fünf belegte Notenwart Artur Brückner.,792,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: Fifth place went to Artur Brückner, responsible for organising music copies.

German:",Zweitens hat Artur Brückner verantwortlich für die Organisierung von Musik.,google/flan-t5-small,0
wmt_test,"The Administrative Department had Deutsche Bahn's reconstruction plans investigated by the Breinlinger Engineering Office, as they had doubts as to whether the planned connection of the Geroltzhäuser Weg will be straightforward.","Die Verwaltung hatte die Umbaupläne der Bahn vom Ingenieurbüro Breinlinger untersuchen lassen, da sie Zweifel daran hatte, ob der geplante Anschluss des Geroltzhäuser Wegs dann noch ohne weiteres möglich sei.",239,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: The Administrative Department had Deutsche Bahn's reconstruction plans investigated by the Breinlinger Engineering Office, as they had doubts as to whether the planned connection of the Geroltzhäuser Weg will be straightforward.

German:","Die Verwaltungsabteilung hat die Reconstructionpläne von Deutsche Bahn durch die Breinlinger Engineering Büro untersucht, wie sie daß die geplante Verbindung der Geroltzhäuser Weg zu überprüfen.",google/flan-t5-small,0
wmt_test,"And they are also energy-efficient: The older light systems consume around 100 Watts, with the new ones consuming just eight.","Und sparsam ist sie auch: Die älteren Lichtanlagen verbrauchen etwa 100 Watt, die neuen gerade mal acht Watt.",16,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: And they are also energy-efficient: The older light systems consume around 100 Watts, with the new ones consuming just eight.

German:","Und sie sind auch Energieeffizient: Die älteren Lichtsysteme verbraucht etwa 100 Watts, mit den neuen ones verbraucht nur acht.",google/flan-t5-small,0
wmt_test,"""Decisions will then be made elsewhere,"" said Maier.","""Dann werden Entscheidungen an anderer Stelle getroffen"", sagte Maier.",2553,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: ""Decisions will then be made elsewhere,"" said Maier.

German:","""Die Entscheidungen werden dann in anderen Ländern ergreifen,"" sagte Maier.",google/flan-t5-small,0
wmt_test,Police say they have a video that appears to show Mayor Rob Ford smoking a crack pipe.,"Die Polizei gibt an, sie sei im Besitz eines Videos, auf dem angeblich zu sehen sei, wie Bürgermeister Rob Ford eine Crack-Pfeife rauche.",2139,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: Police say they have a video that appears to show Mayor Rob Ford smoking a crack pipe.

German:","Die Polizei hat sie eine Video, die die Bürgermeister von Rob Ford stärkt, zu zeigen.",google/flan-t5-small,0
wmt_test,Report: Obama campaign considered dumping Biden for Hillary Clinton,"Bericht: Obama-Kampagne überlegte, Biden durch Hillary Clinton zu ersetzen",1471,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: Report: Obama campaign considered dumping Biden for Hillary Clinton

German:",Report: Obama-Kampagne bewertet Biden für Hillary Clinton,google/flan-t5-small,0
wmt_test,"He then became the first high-ranking member of the U.S government to admit that US spying had crossed the line, but emphasised that no one's rights had been abused.","Anschließend gestand er als erstes hochrangiges Mitglied der US-amerikanischen Regierung ein, dass die US-Spionage eine Grenze überschritten habe, betonte aber auch, dass keine Rechte missbraucht worden seien.",2959,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: He then became the first high-ranking member of the U.S government to admit that US spying had crossed the line, but emphasised that no one's rights had been abused.

German:","Er hat der erste Mitglied des U.S.-Georgias zu erkennen, dass die US-Spyware auf dem Weg hat, aber betonte, dass keine Menschenrechte hat.",google/flan-t5-small,0
wmt_test,"In the evening, fans of brass band music will be in for a treat of their own.",Abends kommen die Blasmusikfreunde auf ihre Kosten.,707,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: In the evening, fans of brass band music will be in for a treat of their own.

German:",In der Abend werden Fans der Brass Band Musik für einen besonderen Geschenk.,google/flan-t5-small,0
wmt_test,"Following a short flight from New York to Boston, the pupils have now arrived with their host families and are experiencing the school day at Weymouth High School.",Nach einem kurzen Flug von New York nach Boston sind die Schüler inzwischen in ihren Gastfamilien angekommen und erleben an der Weymouth High School den Schulalltag.,742,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: Following a short flight from New York to Boston, the pupils have now arrived with their host families and are experiencing the school day at Weymouth High School.

German:",Nach einer kurzen Flüge von New York bis Boston hat die Schüler jetzt mit ihren Hohen Familien und erleben die Schule Day in Weymouth High School.,google/flan-t5-small,0
wmt_test,"According to accusations, this was part of a turf war and represented a demonstration of power.",Laut Anklage ging es um Revierkämpfe und eine Machtdemonstration.,2897,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: According to accusations, this was part of a turf war and represented a demonstration of power.

German:",.,google/flan-t5-small,0
wmt_test,"However, in an interview, Bloom has said that he and Kerr still love each other.","In einem Interview sagte Bloom jedoch, dass er und Kerr sich noch immer lieben.",2223,"You are translating English idiomatic sentences into fluent, meaning-preserving German. Do not translate idioms word-for-word when a natural German rendering is more appropriate.

Translate the English sentence into natural German.

English: However, in an interview, Bloom has said that he and Kerr still love each other.

German:","In einem Interview, Bloom hat, dass er und Kerr weiterhin glücklich sind.",google/flan-t5-small,0
